Reference,Bill Date,Due Date,GL Account,Payee Name,Paid,Unpaid,Paid Date,Property Name,Approval Status,GL Account Name
INV0005,6/13/2024,6/13/2024,6251 - Cleaning Services,"Bowen , Adriana",80,0,6/26/2024,Whispering Palms Estate,Approved,"Appliances, Furniture and Equipment"
INV0007,6/13/2024,6/13/2024,6251 - Cleaning Services,"Bowen , Adriana",50,0,6/26/2024,Villa Terra Nova,Approved,"Appliances, Furniture and Equipment"
INV0010,6/13/2024,6/13/2024,6251 - Cleaning Services,"Bowen , Adriana",80,0,6/26/2024,Casa Seraphina,Approved,"Appliances, Furniture and Equipment"
INV0009,6/13/2024,6/13/2024,6251 - Cleaning Services,"Bowen , Adriana",50,0,7/23/2024,Villa Luna Blanca,Approved,"Appliances, Furniture and Equipment"
INV0008,6/13/2024,6/13/2024,6251 - Cleaning Services,"Bowen , Adriana",80,0,7/23/2024,The Velvet Horizon,Approved,"Appliances, Furniture and Equipment"
INV0001,6/20/2024,6/20/2024,6251 - Cleaning Services,"Bowen , Adriana",90,0,6/26/2024,Villa Azure Cove,Approved,"Appliances, Furniture and Equipment"
INV0003,6/20/2024,6/20/2024,6251 - Cleaning Services,"Bowen , Adriana",80,0,6/26/2024,Villa Solara,Exempt,"Appliances, Furniture and Equipment"
INV00115,7/1/2024,7/1/2024,6251 - Cleaning Services,"Bowen , Adriana",100,0,7/23/2024,Casa del Mariposa,Exempt,"Appliances, Furniture and Equipment"
12,7/1/2024,7/1/2024,6251 - Cleaning Services,"Bowen , Adriana",80,0,7/30/2024,Villa Azure Cove,Approved,"Appliances, Furniture and Equipment"
13,7/1/2024,7/1/2024,6251 - Cleaning Services,"Bowen , Adriana",100,0,7/30/2024,The Orchid Pavilion,Exempt,"Appliances, Furniture and Equipment"
114,7/1/2024,7/1/2024,6251 - Cleaning Services,"Bowen , Adriana",110,0,7/30/2024,The Marula Nest,Approved,"Appliances, Furniture and Equipment"
429-209 1x1,7/2/2024,7/2/2024,6251 - Cleaning Services,"Bowen , Adriana",80,0,7/16/2024,The Golden Banyan,Approved,"Appliances, Furniture and Equipment"
18,7/21/2024,7/21/2024,6251 - Cleaning Services,"Bowen , Adriana",80,0,7/30/2024,Villa Olivetta,Exempt,"Appliances, Furniture and Equipment"
19,7/21/2024,7/21/2024,6251 - Cleaning Services,"Bowen , Adriana",80,0,7/30/2024,Villa Cielo Alto,Approved,"Appliances, Furniture and Equipment"
INV0017,7/22/2024,7/22/2024,6251 - Cleaning Services,"Bowen , Adriana",100,0,7/23/2024,The Velvet Horizon,,"Appliances, Furniture and Equipment"
INV0016,7/22/2024,7/22/2024,6251 - Cleaning Services,"Bowen , Adriana",25,0,7/23/2024,Villa Sereno,Approved,"Appliances, Furniture and Equipment"
INV0011,7/22/2024,7/22/2024,6251 - Cleaning Services,"Bowen , Adriana",80,0,7/23/2024,Sapphire Ridge Retreat,Approved,"Appliances, Furniture and Equipment"
20,7/24/2024,7/24/2024,6251 - Cleaning Services,"Bowen , Adriana",80,0,7/30/2024,Casa Aurora,Approved,"Appliances, Furniture and Equipment"
23,8/16/2024,8/16/2024,6251 - Cleaning Services,"Bowen , Adriana",100,0,9/11/2024,Casa del Mariposa,Approved,"Appliances, Furniture and Equipment"
24,8/16/2024,8/16/2024,6251 - Cleaning Services,"Bowen , Adriana",100,0,9/11/2024,Casa del Mariposa,Approved,"Appliances, Furniture and Equipment"
21,8/26/2024,8/26/2024,6251 - Cleaning Services,"Bowen , Adriana",100,0,9/11/2024,Villa Terra Nova,Approved,"Appliances, Furniture and Equipment"
INV0026,10/6/2024,10/6/2024,6251 - Cleaning Services,"Bowen , Adriana",90,0,10/11/2024,Villa Cielo Alto,Exempt,"Appliances, Furniture and Equipment"
35,11/20/2024,11/20/2024,6251 - Cleaning Services,"Bowen , Adriana",100,0,12/2/2024,Villa Terra Nova,Approved,"Appliances, Furniture and Equipment"
34,11/20/2024,11/20/2024,6251 - Cleaning Services,"Bowen , Adriana",80,0,12/2/2024,The Golden Banyan,Approved,"Appliances, Furniture and Equipment"
33,11/20/2024,11/20/2024,6251 - Cleaning Services,"Bowen , Adriana",80,0,12/2/2024,The Marula Nest,Approved,"Appliances, Furniture and Equipment"
32,11/20/2024,11/20/2024,6251 - Cleaning Services,"Bowen , Adriana",80,0,12/2/2024,Villa Terra Nova,Approved,"Appliances, Furniture and Equipment"
31,11/20/2024,11/20/2024,6251 - Cleaning Services,"Bowen , Adriana",80,0,12/2/2024,The Orchid Pavilion,Approved,"Appliances, Furniture and Equipment"
30,11/20/2024,11/20/2024,6251 - Cleaning Services,"Bowen , Adriana",80,0,12/2/2024,The Velvet Horizon,Approved,"Appliances, Furniture and Equipment"
29,11/20/2024,11/20/2024,6251 - Cleaning Services,"Bowen , Adriana",80,0,12/2/2024,Villa Sereno,Approved,"Appliances, Furniture and Equipment"
28,11/20/2024,11/20/2024,6251 - Cleaning Services,"Bowen , Adriana",100,0,12/2/2024,Villa Driftwood,Approved,"Appliances, Furniture and Equipment"
27,11/20/2024,11/20/2024,6251 - Cleaning Services,"Bowen , Adriana",100,0,12/2/2024,Villa Solara,Approved,"Appliances, Furniture and Equipment"
P204 Security Deposit Refund,3/11/2025,3/11/2025,2120 - Security Deposits Clearing,"Boyd, Eric",342.5,0,3/20/2025,Villa Olivetta,Approved,"Appliances, Furniture and Equipment"
826 Security Deposit Refund,10/30/2024,10/30/2024,2120 - Security Deposits Clearing,"Bracho, Monica  P.","1,175.00",0,11/4/2024,Villa Cielo Alto,Exempt,"Appliances, Furniture and Equipment"
12-101 Security Deposit Refund,4/10/2024,4/10/2024,2120 - Security Deposits Clearing,"Bratton, Runea","1,450.00",0,4/12/2024,Sapphire Ridge Retreat,Approved,"Appliances, Furniture and Equipment"
421-105 Security Deposit Refund,12/6/2024,12/6/2024,2120 - Security Deposits Clearing,"Bravo Hernandez, Edgar M.","1,763.00",0,2/21/2025,Villa Luna Blanca,Approved,"Appliances, Furniture and Equipment"
Atlantic Broadband February 2024,2/12/2025,2/12/2025,6480 - Internet & Cable Service,Breezeline,31.66,0,2/13/2025,The Orchid Pavilion,Exempt,"Appliances, Furniture and Equipment"
Atlantic Broadband March 2025,3/12/2025,3/12/2025,6480 - Internet & Cable Service,Breezeline,31.66,0,3/13/2025,Casa del Mariposa,,"Appliances, Furniture and Equipment"
Atlantic Broadband April 2025,4/1/2025,5/1/2025,6480 - Internet & Cable Service,Breezeline,31.66,0,4/14/2025,Villa Terra Nova,Approved,"Appliances, Furniture and Equipment"
625 Security Deposit Refund,10/24/2024,10/24/2024,2120 - Security Deposits Clearing,"Brenner-Horton, Clivia","2,479.03",0,10/25/2024,Whispering Palms Estate,Approved,"Appliances, Furniture and Equipment"
4.98E+11,4/20/2024,5/7/2024,6480 - Internet & Cable Service,Bright House Networks,144.99,0,5/2/2024,Whispering Palms Estate,Exempt,"Appliances, Furniture and Equipment"
4.98E+11,5/20/2024,6/6/2024,6480 - Internet & Cable Service,Bright House Networks,144.99,0,6/3/2024,The Marula Nest,Approved,"Appliances, Furniture and Equipment"
4.98E+11,6/20/2024,7/7/2024,6480 - Internet & Cable Service,Bright House Networks,144.99,0,7/6/2024,Sapphire Ridge Retreat,Approved,"Appliances, Furniture and Equipment"
Invoice # 0498211072024,8/1/2024,8/1/2024,6480 - Internet & Cable Service,Bright House Networks,144.99,0,8/1/2024,Villa Cielo Alto,Approved,"Appliances, Furniture and Equipment"
7838,5/6/2024,5/6/2024,6253 - Pool Service,BRIGHT POOL  SERVICE  INC,380,0,5/7/2024,Sapphire Ridge Retreat,Approved,"Appliances, Furniture and Equipment"
7839,5/6/2024,5/6/2024,6253 - Pool Service,BRIGHT POOL  SERVICE  INC,120,0,5/7/2024,The Orchid Pavilion,Approved,"Appliances, Furniture and Equipment"
8134,5/7/2024,6/6/2024,6253 - Pool Service,BRIGHT POOL  SERVICE  INC,120,0,9/3/2024,Villa Azure Cove,Approved,"Appliances, Furniture and Equipment"
7426,8/14/2024,8/14/2024,6253 - Pool Service,BRIGHT POOL  SERVICE  INC,380,0,8/16/2024,Villa Azure Cove,Approved,"Appliances, Furniture and Equipment"
8110,8/14/2024,8/14/2024,6253 - Pool Service,BRIGHT POOL  SERVICE  INC,380,0,8/16/2024,Villa Luna Blanca,Approved,"Appliances, Furniture and Equipment"
243492553,4/18/2024,5/8/2024,6470 - Alarm Service,Brinks Home Security,64.34,0,4/26/2024,The Golden Banyan,Approved,"Appliances, Furniture and Equipment"
Acc #20539193,5/18/2024,6/7/2024,6470 - Alarm Service,Brinks Home Security,64.34,0,5/24/2024,Villa Cielo Alto,Approved,"Appliances, Furniture and Equipment"
Customer #20539193,6/18/2024,7/8/2024,6470 - Alarm Service,Brinks Home Security,64.34,0,6/27/2024,Villa Cielo Alto,Approved,"Appliances, Furniture and Equipment"
Customer # 20539193,7/18/2024,8/7/2024,6470 - Alarm Service,Brinks Home Security,64.34,0,7/23/2024,Villa Olivetta,Approved,"Appliances, Furniture and Equipment"
20539193.08.2024,8/18/2024,9/7/2024,6470 - Alarm Service,Brinks Home Security,64.34,0,8/30/2024,Casa Seraphina,Approved,"Appliances, Furniture and Equipment"
20539193.09.2024,9/18/2024,10/8/2024,6470 - Alarm Service,Brinks Home Security,64.34,0,9/30/2024,Whispering Palms Estate,Approved,"Appliances, Furniture and Equipment"
20539193.10.2024,10/18/2024,11/7/2024,6470 - Alarm Service,Brinks Home Security,64.34,0,10/31/2024,Villa Luna Blanca,Approved,"Appliances, Furniture and Equipment"
20539193.11.2024,11/18/2024,12/8/2024,6470 - Alarm Service,Brinks Home Security,64.34,0,11/25/2024,The Orchid Pavilion,Approved,"Appliances, Furniture and Equipment"
20539193.12.2024,12/18/2024,1/7/2025,6470 - Alarm Service,Brinks Home Security,64.34,0,12/31/2024,Villa Terra Nova,Approved,"Appliances, Furniture and Equipment"
20539193.01.2025,1/18/2025,2/17/2025,6470 - Alarm Service,Brinks Home Security,64.34,0,1/29/2025,Villa Terra Nova,Approved,"Appliances, Furniture and Equipment"
252165645,2/18/2025,3/10/2025,6470 - Alarm Service,Brinks Home Security,64.34,0,2/28/2025,Casa Aurora,Approved,"Appliances, Furniture and Equipment"
228823413,3/18/2025,4/7/2025,6470 - Alarm Service,Brinks Home Security,64.34,0,3/19/2025,The Golden Banyan,Approved,"Appliances, Furniture and Equipment"
229432042,4/18/2025,5/18/2025,6470 - Alarm Service,Brinks Home Security,64.34,0,4/22/2025,The Marula Nest,Approved,"Appliances, Furniture and Equipment"
130-5235 Security Deposit Refund,11/5/2024,11/5/2024,2120 - Security Deposits Clearing,"Brinson, Leland (Leland)",760,0,12/3/2024,Casa del Mariposa,Exempt,"Appliances, Furniture and Equipment"
Invoice No:0399,5/9/2024,5/31/2024,1405 - Building Improvements,Briserio LLC,"1,260.00",0,7/17/2024,Villa Azure Cove,Exempt,"Appliances, Furniture and Equipment"
Invoice No:0398,5/9/2024,5/31/2024,1405 - Building Improvements,Briserio LLC,"15,435.20",0,7/17/2024,The Orchid Pavilion,Approved,"Appliances, Furniture and Equipment"
Invoice No:0400,5/9/2024,5/31/2024,1405 - Building Improvements,Briserio LLC,"17,240.00",0,7/17/2024,The Golden Banyan,Approved,"Appliances, Furniture and Equipment"
INV0458,8/16/2024,8/16/2024,1405 - Building Improvements,Briserio LLC,"4,300.00",0,10/3/2024,Villa Cielo Alto,Approved,"Appliances, Furniture and Equipment"
INV0458,8/16/2024,8/16/2024,1405 - Building Improvements,Briserio LLC,"1,000.00",0,8/16/2024,The Velvet Horizon,Approved,"Appliances, Furniture and Equipment"
INV0458,8/16/2024,8/16/2024,1405 - Building Improvements,Briserio LLC,800,0,10/3/2024,Villa Driftwood,Approved,"Appliances, Furniture and Equipment"
INV0439,10/23/2024,10/23/2024,1405 - Building Improvements,Briserio LLC,"4,800.00",0,11/13/2024,Villa Luna Blanca,Approved,"Appliances, Furniture and Equipment"
INV0441,10/23/2024,10/23/2024,1405 - Building Improvements,Briserio LLC,"3,500.00",0,11/13/2024,Whispering Palms Estate,Approved,"Appliances, Furniture and Equipment"
INV0440,10/23/2024,10/23/2024,1405 - Building Improvements,Briserio LLC,"3,500.00",0,11/13/2024,Villa Driftwood,Approved,"Appliances, Furniture and Equipment"
INV0440,10/23/2024,10/23/2024,1405 - Building Improvements,Briserio LLC,"1,300.00",0,11/13/2024,Villa Sereno,Approved,"Appliances, Furniture and Equipment"
Invoice No:0397,5/9/2024,5/31/2024,6210 - Repair,Briserio LLC,"1,675.00",0,7/17/2024,Villa Solara,Approved,"Appliances, Furniture and Equipment"
Invoice No:0396,5/9/2024,5/31/2024,6210 - Repair,Briserio LLC,"1,675.00",0,7/17/2024,Whispering Palms Estate,Approved,"Appliances, Furniture and Equipment"
Invoice No:0395,5/9/2024,5/31/2024,6210 - Repair,Briserio LLC,"1,400.00",0,7/17/2024,The Golden Banyan,Approved,"Appliances, Furniture and Equipment"
Invoice No:0394,5/9/2024,5/31/2024,6210 - Repair,Briserio LLC,"1,400.00",0,7/17/2024,Villa Terra Nova,Approved,"Appliances, Furniture and Equipment"
INV0440,10/23/2024,10/23/2024,6210 - Repair,Briserio LLC,"3,500.00",0,11/13/2024,Whispering Palms Estate,Approved,"Appliances, Furniture and Equipment"
457,8/16/2024,8/16/2024,6730 - Supplies Repairs and Maintenance,Briserio LLC,"1,200.00",0,9/23/2024,The Golden Banyan,Approved,"Appliances, Furniture and Equipment"
457,8/16/2024,8/16/2024,6730 - Supplies Repairs and Maintenance,Briserio LLC,"1,000.00",0,9/23/2024,The Velvet Horizon,Approved,"Appliances, Furniture and Equipment"
457,8/16/2024,8/16/2024,6730 - Supplies Repairs and Maintenance,Briserio LLC,300,0,9/23/2024,Villa Terra Nova,Exempt,"Appliances, Furniture and Equipment"
INV0458,8/16/2024,8/16/2024,6730 - Supplies Repairs and Maintenance,Briserio LLC,"1,500.00",0,10/3/2024,Villa Azure Cove,Approved,"Appliances, Furniture and Equipment"
INV0458,8/16/2024,8/16/2024,6730 - Supplies Repairs and Maintenance,Briserio LLC,700,0,10/3/2024,Villa Azure Cove,Approved,"Appliances, Furniture and Equipment"
Security Deposit Refund,5/8/2024,5/8/2024,2120 - Security Deposits Clearing,"Brizuela, Lisanda","1,625.00",0,5/8/2024,The Orchid Pavilion,Exempt,"Appliances, Furniture and Equipment"
3636,3/26/2025,3/26/2025,6223 - Cleaning - Vacant Units,"Broche, Dilaysi",120,0,3/31/2025,The Marula Nest,Exempt,"Appliances, Furniture and Equipment"
166995-1,2/5/2025,2/5/2025,6251 - Cleaning Services,"Broche, Dilaysi",130,0,2/13/2025,Villa Olivetta,Approved,"Appliances, Furniture and Equipment"
166676-1-2,2/5/2025,2/5/2025,6251 - Cleaning Services,"Broche, Dilaysi",130,0,2/13/2025,Casa Seraphina,Approved,"Appliances, Furniture and Equipment"
164553-1-3,2/5/2025,2/5/2025,6251 - Cleaning Services,"Broche, Dilaysi",90,0,2/13/2025,Casa Seraphina,Approved,"Appliances, Furniture and Equipment"
167427-1,2/5/2025,2/5/2025,6251 - Cleaning Services,"Broche, Dilaysi",0,0,,The Marula Nest,Approved,"Appliances, Furniture and Equipment"
167427-1-4,2/5/2025,2/5/2025,6251 - Cleaning Services,"Broche, Dilaysi",120,0,2/13/2025,Casa Aurora,Approved,"Appliances, Furniture and Equipment"
162247-1,2/5/2025,2/5/2025,6251 - Cleaning Services,"Broche, Dilaysi",0,0,,Villa Azure Cove,Exempt,"Appliances, Furniture and Equipment"
162247-1-5,2/5/2025,2/5/2025,6251 - Cleaning Services,"Broche, Dilaysi",120,0,2/13/2025,Villa Terra Nova,Exempt,"Appliances, Furniture and Equipment"
31106,2/11/2025,2/11/2025,6210 - Repair,"Broward Backflow Prevention, Inc",215,0,3/27/2025,Villa Azure Cove,Exempt,"Appliances, Furniture and Equipment"
494230-BL-0600,6/1/2024,6/1/2024,6350 - Property Tax, COUNTY TAX COLLECTOR,670.32,0,6/4/2024,Villa Solara,Exempt,"Appliances, Furniture and Equipment"
494230-BL-0600,9/3/2024,9/3/2024,6350 - Property Tax, COUNTY TAX COLLECTOR,681.02,0,9/3/2024,Villa Olivetta,Exempt,"Appliances, Furniture and Equipment"
2024 Real Estate Property Taxes 284 Units,11/22/2024,11/22/2024,6350 - Property Tax, COUNTY TAX COLLECTOR,"997,252.07",0,11/25/2024,The Golden Banyan,Exempt,"Appliances, Furniture and Equipment"
2024 Real Estate Property Taxes 162 Units,11/22/2024,11/22/2024,6350 - Property Tax, COUNTY TAX COLLECTOR,"691,174.58",0,11/25/2024,Villa Olivetta,Exempt,"Appliances, Furniture and Equipment"
494230-BL-0600 3rd Installment,12/2/2024,12/2/2024,6350 - Property Tax, COUNTY TAX COLLECTOR,785.47,0,12/10/2024,Villa Terra Nova,Approved,"Appliances, Furniture and Equipment"
494230-BL-0600 4th Installment,3/3/2025,3/31/2025,6350 - Property Tax, COUNTY TAX COLLECTOR,809.75,0,3/17/2025,Casa Seraphina,Approved,"Appliances, Furniture and Equipment"
April 2024 5401 water,4/17/2024,5/7/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,422.32,0,4/30/2024,Casa Aurora,Approved,"Appliances, Furniture and Equipment"
April 2024 5410 water,4/17/2024,5/7/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,459.31,0,4/30/2024,Villa Olivetta,Exempt,"Appliances, Furniture and Equipment"
April 2024 5351 water,4/17/2024,5/7/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,655.22,0,4/30/2024,Sapphire Ridge Retreat,Exempt,"Appliances, Furniture and Equipment"
April 2024 5481 water,4/17/2024,5/7/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,695.59,0,4/30/2024,Villa Luna Blanca,Exempt,"Appliances, Furniture and Equipment"
April 2024 5221 water,4/17/2024,5/7/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,462.92,0,4/30/2024,The Velvet Horizon,Approved,"Appliances, Furniture and Equipment"
April 2024 5291 Water,4/17/2024,5/7/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,727.91,0,4/30/2024,Whispering Palms Estate,Exempt,"Appliances, Furniture and Equipment"
April 2024 3272 water,4/17/2024,5/7/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,635.09,0,4/30/2024,Casa del Mariposa,Exempt,"Appliances, Furniture and Equipment"
April 2024 3185 water,4/17/2024,5/7/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,640.96,0,4/30/2024,Villa Luna Blanca,Exempt,"Appliances, Furniture and Equipment"
April 2024 3350 Water,4/17/2024,5/7/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,538.43,0,4/30/2024,Casa Aurora,Exempt,"Appliances, Furniture and Equipment"
April 2024 3251 water,4/17/2024,5/7/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,672.22,0,4/30/2024,Villa Olivetta,Approved,"Appliances, Furniture and Equipment"
April 2024 3300 water,4/17/2024,5/7/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,524.77,0,4/30/2024,Villa Driftwood,Approved,"Appliances, Furniture and Equipment"
April 2024 5311 Water,4/17/2024,5/7/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,684.48,0,4/30/2024,Villa Terra Nova,Approved,"Appliances, Furniture and Equipment"
April 2024 3301 water,4/17/2024,5/7/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,511.11,0,4/30/2024,The Velvet Horizon,Approved,"Appliances, Furniture and Equipment"
April 2024 5451 water,4/17/2024,5/7/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,437.27,0,4/30/2024,Sapphire Ridge Retreat,Approved,"Appliances, Furniture and Equipment"
April 2024 5330 water,4/17/2024,5/7/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,462.92,0,4/30/2024,Villa Terra Nova,Approved,"Appliances, Furniture and Equipment"
April 2024 5401  water,4/17/2024,5/7/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,784.47,0,4/30/2024,Villa Luna Blanca,Approved,"Appliances, Furniture and Equipment"
April 2024 3121 water,4/17/2024,5/7/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,716.18,0,4/30/2024,Whispering Palms Estate,Approved,"Appliances, Furniture and Equipment"
April 2024 5240 water,4/17/2024,5/7/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,455.7,0,4/30/2024,Villa Cielo Alto,Approved,"Appliances, Furniture and Equipment"
April 2024 5231 water,4/17/2024,5/7/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,329.5,0,4/30/2024,Villa Driftwood,Approved,"Appliances, Furniture and Equipment"
April 2024 3391 water,4/17/2024,5/7/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,452.1,0,4/30/2024,The Marula Nest,Approved,"Appliances, Furniture and Equipment"
April 2024 5430 water,4/17/2024,5/7/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,462.92,0,4/30/2024,Villa Azure Cove,Approved,"Appliances, Furniture and Equipment"
April 2024 5441 water,4/17/2024,5/7/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,666.44,0,4/30/2024,Villa Driftwood,Approved,"Appliances, Furniture and Equipment"
April 2024 5201 water,4/17/2024,5/7/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,"1,283.78",0,4/30/2024,Casa del Mariposa,Approved,"Appliances, Furniture and Equipment"
3291024,4/17/2024,5/7/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,"2,949.40",0,4/30/2024,The Orchid Pavilion,Exempt,"Appliances, Furniture and Equipment"
April 2024 5320 water,4/18/2024,5/8/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,"2,282.12",0,4/30/2024,Villa Driftwood,Approved,"Appliances, Furniture and Equipment"
April 2024 3161 water,4/19/2024,4/19/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,549.91,0,4/30/2024,Casa Seraphina,Approved,"Appliances, Furniture and Equipment"
April 2024 5210 water,4/19/2024,4/19/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,639.21,0,4/30/2024,Villa Cielo Alto,Approved,"Appliances, Furniture and Equipment"
13733999,5/17/2024,6/6/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,597.96,0,5/24/2024,Sapphire Ridge Retreat,Approved,"Appliances, Furniture and Equipment"
13734004,5/17/2024,6/6/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,444.88,0,5/24/2024,Villa Terra Nova,Approved,"Appliances, Furniture and Equipment"
13734011,5/17/2024,6/6/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,483.79,0,5/24/2024,The Golden Banyan,Approved,"Appliances, Furniture and Equipment"
13734016,5/17/2024,6/6/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,"2,831.75",0,5/24/2024,Whispering Palms Estate,Approved,"Appliances, Furniture and Equipment"
13734017,5/17/2024,6/6/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,462.92,0,5/24/2024,Villa Solara,Approved,"Appliances, Furniture and Equipment"
13734021,5/17/2024,6/6/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,579.11,0,5/24/2024,Villa Sereno,Exempt,"Appliances, Furniture and Equipment"
13734124,5/17/2024,6/6/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,647.22,0,5/24/2024,Casa del Mariposa,Approved,"Appliances, Furniture and Equipment"
13734129,5/17/2024,6/6/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,440.88,0,5/24/2024,Casa Aurora,Approved,"Appliances, Furniture and Equipment"
13734132,5/17/2024,6/6/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,731.42,0,5/24/2024,Villa Driftwood,Exempt,"Appliances, Furniture and Equipment"
13734145,5/17/2024,6/6/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,876.42,0,5/24/2024,The Orchid Pavilion,Exempt,"Appliances, Furniture and Equipment"
13734152,5/17/2024,6/6/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,637.21,0,5/24/2024,Villa Cielo Alto,Exempt,"Appliances, Furniture and Equipment"
13734156,5/17/2024,6/6/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,613.65,0,5/24/2024,Villa Terra Nova,Exempt,"Appliances, Furniture and Equipment"
13734190,5/17/2024,6/6/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,497.45,0,5/24/2024,Casa Seraphina,Exempt,"Appliances, Furniture and Equipment"
13734199,5/17/2024,6/6/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,641.21,0,5/24/2024,Casa Seraphina,Exempt,"Appliances, Furniture and Equipment"
13734205,5/17/2024,6/6/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,459.31,0,5/24/2024,Villa Azure Cove,Exempt,"Appliances, Furniture and Equipment"
13734213,5/17/2024,6/6/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,677.27,0,5/24/2024,Villa Terra Nova,Approved,"Appliances, Furniture and Equipment"
13734268,5/17/2024,6/6/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,329.5,0,5/24/2024,Villa Terra Nova,Approved,"Appliances, Furniture and Equipment"
13734273,5/17/2024,6/6/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,459.31,0,5/24/2024,The Velvet Horizon,Approved,"Appliances, Furniture and Equipment"
13734282,5/17/2024,6/6/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,666.44,0,5/24/2024,Casa del Mariposa,Approved,"Appliances, Furniture and Equipment"
13734288,5/17/2024,6/6/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,"1,263.42",0,5/24/2024,Casa Seraphina,Approved,"Appliances, Furniture and Equipment"
13734314,5/17/2024,6/6/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,452.1,0,5/24/2024,Sapphire Ridge Retreat,Approved,"Appliances, Furniture and Equipment"
13734416,5/17/2024,6/6/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,466.53,0,5/24/2024,Villa Terra Nova,Approved,"Appliances, Furniture and Equipment"
13734421,5/17/2024,6/6/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,462.92,0,5/24/2024,Villa Azure Cove,Approved,"Appliances, Furniture and Equipment"
13734429,5/17/2024,6/6/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,597.96,0,5/24/2024,Villa Cielo Alto,Approved,"Appliances, Furniture and Equipment"
3291024,5/17/2024,6/6/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,"3,031.36",0,5/24/2024,Casa Aurora,Approved,"Appliances, Furniture and Equipment"
13734194,5/21/2024,5/21/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,433.26,0,5/24/2024,Casa del Mariposa,Approved,"Appliances, Furniture and Equipment"
13797758,6/20/2024,7/10/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,653.22,0,6/26/2024,The Golden Banyan,Approved,"Appliances, Furniture and Equipment"
13797752,6/20/2024,7/10/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,435.27,0,6/26/2024,The Velvet Horizon,Approved,"Appliances, Furniture and Equipment"
13797745,6/20/2024,7/10/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,565.74,0,6/26/2024,The Marula Nest,Approved,"Appliances, Furniture and Equipment"
13797556,6/20/2024,7/10/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,599.99,0,6/26/2024,The Orchid Pavilion,Approved,"Appliances, Furniture and Equipment"
13797552,6/20/2024,7/10/2024,6430 - Water & Sewer,Broward County Water And Wastewater Services,639.21,0,6/26/2024,Casa del Mariposa,Approved,"Appliances, Furniture and Equipment"
